Date,Full Retreat and Summaries,Title of Event,#,Transcript or Writing,Title of Talk or Writing,Link,Broad Topics,Detailed Topics,Principal teacher 1,Principal teacher 2,Facilitator 1,Organization,Venue,Dates of overall event,Length of recording,Type of recording,Teacher's note on suitability,Online,Live audience,Audience (experienced or general),Technical notes on audio quality
2007-01-22,https://dl.airtable.com/.attachments/39a0cddf6f586b17c91456da5d2c585f/707fdf59/2007_0122LovingkindnessandCompassionAsaPathtoAwakening.pdf,Lovingkindness and Compassion as a Path to Awakening,1,https://dl.airtable.com/.attachments/d2b97ccd3dd9fa8ff4f0a671a0b1d9c5/88137e77/2007_0122SamadhiinMettaPractice.pdf,Samadhi in Metta Practice,https://dharmaseed.org/teacher/210/talk/12294/,"brahmaviharas,samadhi/jhana","metta,samadhi,piti,definitions: samadhi,samadhi: focus on one object or a wider open field,samadhi: how and why it develops,samadhi: dependent on and leading to happiness,gratitude and appreciation,working with tightness in samadhi practice,goals and effort,repression / suppression",Rob Burbea,,,Gaia House,"Gaia House, Devon",,4023,Talk,"This series of talks and guided meditations explores the development of the practices of both Lovingkindness and Compassion, with particular emphasis on the radical possibilities of Awakening that they bring. Through these practices we come to develop deep and beautiful qualities of heart as a real resource both for ourselves and the world, and also open ourselves to the profound and liberating understandings that can emerge from this path of love.",,true,,
2007-01-25,,Lovingkindness and Compassion as a Path to Awakening,2,https://dl.airtable.com/.attachments/1fc70dc50885750da627309f4d24b586/86021573/2007_0125ExpressionsofMetta.pdf,Expressions of Metta,https://dharmaseed.org/teacher/210/talk/12290/,brahmaviharas,"metta,metta: working with categories,metta to self,metta to friend,metta: near enemies,metta to neutral person,emotions / mind states: anger,metta: practicing with the body,emotions / mind states: guilt or remorse",Rob Burbea,,,Gaia House,"Gaia House, Devon",,4006,Talk,"This series of talks and guided meditations explores the development of the practices of both Lovingkindness and Compassion, with particular emphasis on the radical possibilities of Awakening that they bring. Through these practices we come to develop deep and beautiful qualities of heart as a real resource both for ourselves and the world, and also open ourselves to the profound and liberating understandings that can emerge from this path of love.",,true,,
2007-01-27,,Lovingkindness and Compassion as a Path to Awakening,3,https://dl.airtable.com/.attachments/4334dc50f81e6b20a2051d5ae266ff6c/8879c02a/2007_0127FromInsighttoLove.pdf,From Insight to Love,https://dharmaseed.org/teacher/210/talk/12291/,"brahmaviharas,emptiness/insight","metta,emptiness/insight leads to more care and love,definitions: what is insight?,emotions / mind states: fear and anxiety,not-self (anatta),three characteristics,critique: anguish and fear as stages of insight,impermanence (anicca),dukkha (suffering),emptiness/insight: list of impermanence (anicca) practices,emptiness/insight: list of dukkha (suffering) practices,emptiness/insight: list of anatta (emptiness of self) practices,oneness/vastness, different flavors of (love, awareness, etc.),aging/sickness/death",Rob Burbea,,,Gaia House,"Gaia House, Devon",,4747,Talk,"This series of talks and guided meditations explores the development of the practices of both Lovingkindness and Compassion, with particular emphasis on the radical possibilities of Awakening that they bring. Through these practices we come to develop deep and beautiful qualities of heart as a real resource both for ourselves and the world, and also open ourselves to the profound and liberating understandings that can emerge from this path of love.",,true,,
2007-02-01,,Lovingkindness and Compassion as a Path to Awakening,4,https://dl.airtable.com/.attachments/3833c6cb0e49739c529c98ca0ba1e443/94fce5ae/2007_0201ThePracticeofCompassion.pdf,The Practice of Compassion,https://dharmaseed.org/teacher/210/talk/12295/,brahmaviharas,"compassion,inquiring,compassion: near enemies,compassion to self,emptiness/insight: cementing and consolidating insights,Practice: compassion to ownerless mind moments,emptiness: dependence on mind, mind's dependence,equanimity,ethics/engagement,compassionate action and attachment",Rob Burbea,,,Gaia House,"Gaia House, Devon",,5146,Talk,"This series of talks and guided meditations explores the development of the practices of both Lovingkindness and Compassion, with particular emphasis on the radical possibilities of Awakening that they bring. Through these practices we come to develop deep and beautiful qualities of heart as a real resource both for ourselves and the world, and also open ourselves to the profound and liberating understandings that can emerge from this path of love.",,true,,
2007-02-04,,Lovingkindness and Compassion as a Path to Awakening,5,https://dl.airtable.com/.attachments/165521a31960db2403fb0d958ec644c0/bcfd0577/2007_0204Guidedmeditation-Mettatophenomena.pdf,Guided Meditation - Metta to Phenomena,https://dharmaseed.org/teacher/210/talk/12292/,"brahmaviharas,emptiness/insight","metta,metta towards phenomena,compassion,Practice: welcoming/allowing",Rob Burbea,,,Gaia House,"Gaia House, Devon",,2098,Guided practice,"This series of talks and guided meditations explores the development of the practices of both Lovingkindness and Compassion, with particular emphasis on the radical possibilities of Awakening that they bring. Through these practices we come to develop deep and beautiful qualities of heart as a real resource both for ourselves and the world, and also open ourselves to the profound and liberating understandings that can emerge from this path of love.",,true,,Clicking/whirring sound during guided meditation
2007-02-04,,Lovingkindness and Compassion as a Path to Awakening,6,https://dl.airtable.com/.attachments/15c4c4387f734bd992a3b90db9cff1bb/62d089d1/2007_0204LoveandEmptiness.pdf,Love and Emptiness,https://dharmaseed.org/teacher/210/talk/12293/,"brahmaviharas,emptiness/insight","metta,metta: retraining the habits of mind,insight and cultivation (aspects or wings of the path),the Unfabricated,self-views, noticing and practicing with,metta and compassion: love without an object,emptiness/insight: fading, unfabricating,emptiness/insight: dependent arising, mutual dependence,emptiness/insight leads to more care and love,awakening,metta towards phenomena,metta and compassion seeming to mix and blend,practice schedules / balancing different practices,emptiness: what is emptiness?",Rob Burbea,,,Gaia House,"Gaia House, Devon",,4972,Talk,"This series of talks and guided meditations explores the development of the practices of both Lovingkindness and Compassion, with particular emphasis on the radical possibilities of Awakening that they bring. Through these practices we come to develop deep and beautiful qualities of heart as a real resource both for ourselves and the world, and also open ourselves to the profound and liberating understandings that can emerge from this path of love.",,true,,
2007-02-08,,Lovingkindness and Compassion as a Path to Awakening,7,https://dl.airtable.com/.attachments/96990c183a073442bcba4c856034b64f/8b34c6f0/2007_0208EquanimityinCompassion.pdf,Equanimity in Compassion,https://dharmaseed.org/teacher/210/talk/12289/,brahmaviharas,"compassion,equanimity,definitions: equanimity,samadhi,equanimity in compassion practice,equanimity: near enemies,worldly winds,equanimity: ways it can arise,impermanence (anicca),equanimity: types of equanimity",Rob Burbea,,,Gaia House,"Gaia House, Devon",,4416,Talk,"This series of talks and guided meditations explores the development of the practices of both Lovingkindness and Compassion, with particular emphasis on the radical possibilities of Awakening that they bring. Through these practices we come to develop deep and beautiful qualities of heart as a real resource both for ourselves and the world, and also open ourselves to the profound and liberating understandings that can emerge from this path of love.",,true,,
2007-03-01,https://dl.airtable.com/.attachments/bf2d4cd7d83b9460f41a48673aef85d7/b9267fcb/2007_0301DayRetreatLondonInsight.pdf,"Day Retreat, London Insight",1,https://dl.airtable.com/.attachments/ea2a09257878ebba7cf54b50af589b34/d084d849/2007_0301BeyondthePrisonofSelf-PartOne.pdf,Beyond the Prison of Self (Part One),https://hermesamara.org/resources/talk/2007-03-01-beyond-the-prison-of-self-part-one,emptiness/insight,"not-self (anatta),self-views, noticing and practicing with",Rob Burbea,,,London Insight Meditation,"King Alfred School, London",,998,Talk,,,true,,Audio quality is poor
2007-03-01,,"Day Retreat, London Insight",2,https://dl.airtable.com/.attachments/7da03aed3dc1f306278557410f0140b1/51bff061/2007_0301BeyondthePrisonofSelf-PartTwo.pdf,Beyond the Prison of Self (Part Two),https://hermesamara.org/resources/talk/2007-03-01-beyond-the-prison-of-self-part-two,emptiness/insight,"not-self (anatta),self-views, noticing and practicing with,generosity,judgment/inner critic,karma",Rob Burbea,,,London Insight Meditation,"King Alfred School, London",,3718,Talk,,,true,,Audio quality is poor
2007-03-15,https://dl.airtable.com/.attachments/bedf694d8898301c4056d440033f0254/8363f594/2007_0315WorkingandAwakening.pdf,Working and Awakening - A Work Retreat,1,https://dl.airtable.com/.attachments/fb0509fa298b1d888dc694b3a32c2f17/3b287e62/2007_0315HomeandHomelessness.pdf,Home and Homelessness,https://dharmaseed.org/teacher/210/talk/12344/,other topics,"renunciation/letting go,homelessness on the path,authenticity,dangers or shadow sides in any dharma path,Four Noble Truths,ways practice can bring sense of at-homeness, belonging,impermanence (anicca),taking refuge,beyond spaciousness/the vastness of awareness,emptiness of fabrication, unfabricated / snake eating its own tail, links melting",Rob Burbea,,,Gaia House,"Gaia House, Devon",,3421,Talk,,,true,,Audio cuts out around 47 minutes in and returns
2007-03-16,,Working and Awakening - A Work Retreat,2,https://dl.airtable.com/.attachments/57ada377d5220557a52fe69467c7a94f/8e22716e/2007_0316PassionDesireandthePath.pdf,"Passion, Desire, and the Path",https://dharmaseed.org/teacher/210/talk/12343/,other topics,"desire/eros,goals and effort,goals and effort: elements of wise effort,desire: the place of desire in insight and cultivation practices,desire affects how and which experiences unfold,sexuality/romantic relationships,energy: factors that block or inhibit energy,precepts,working with tiredness / dullness,critique: disgust as a stage of insight",Rob Burbea,,,Gaia House,"Gaia House, Devon",,3742,Talk,"Often in spiritual traditions desire is seen simply as something to rid ourselves of, but there is a very important place for it on the path. We need passion. And we need both to understand desire and to know freedom from desire.",,true,,
2007-03-17,,Working and Awakening - A Work Retreat,3,https://dl.airtable.com/.attachments/97b4dc5204c2b40154fefe5364a16629/c9537f10/2007_0317GodandtheUltimateTruth.pdf,God and the Ultimate Truth,https://dharmaseed.org/teacher/210/talk/12342/,other topics,"mystical openings and experiences,Christian mysticism,inquiring,devotion,compassion,oneness/vastness, different flavors of (love, awareness, etc.),emptiness/insight: fading, unfabricating,time and timelessness,emptiness of time,the Unfabricated,depths and dimensions of silence",Rob Burbea,,,Gaia House,"Gaia House, Devon",,3469,Talk,,,true,,
2007-03-30,https://dl.airtable.com/.attachments/b443193e39bb3a5fe34b29c7b3b3e81f/e7b353a8/2007_0330SamathaMeditationRetreat.pdf,Samatha Meditation,1,https://dl.airtable.com/.attachments/52eff263201e89de71c32ebcb13d905c/0e5ef2e1/2007_0330OpeningTalkonSamatha-ConcentrationPractice.pdf,Opening Talk on Samatha (Concentration Practice),https://dharmaseed.org/teacher/210/talk/12312/,samadhi/jhana,"samadhi,awakening: necessary elements for liberation,breath meditation: manipulating / playing with the breath,getting in touch with deeper priorities,gratitude and appreciation,precepts",Rob Burbea,,,Gaia House,"Gaia House, Devon",,2400,Talk,,,true,,
2007-03-31,,Samatha Meditation,2,https://dl.airtable.com/.attachments/fd01c3e096c4d3a41064ad878adf52c9/72c35a82/2007_0331FirstSamathaInstructionsandGuidedMeditationontheBreath.pdf,First Samatha Instructions and Guided Meditation on the Breath,https://dharmaseed.org/teacher/210/talk/12310/,samadhi/jhana,"samadhi,breath meditation,insight and cultivation (aspects or wings of the path),samadhi: qualities practice develops (refinement, patience, mindfulness, etc.),guided meditation on the breath",Rob Burbea,,,Gaia House,"Gaia House, Devon",,2574,Practice instructions/guided practice,,,true,,
2007-03-31,,Samatha Meditation,3,https://dl.airtable.com/.attachments/15380891be9d0c2f79e4faaa8e8c1392/8829bf65/2007_0331WorkingwiththeHindrances.pdf,Working with the Hindrances,https://dharmaseed.org/teacher/210/talk/12315/,samadhi/jhana,"samadhi,hindrances,goals and effort,sense pleasure,sexual energy, working with,repression / suppression,emotions / mind states: boredom,sensitivity,emotions: increase energy in attention, decrease in emotion,working with tiredness / dullness,mindfulness, foundations of: fourth foundation",Rob Burbea,,,Gaia House,"Gaia House, Devon",,3664,Talk,,,true,,
2007-04-01,,Samatha Meditation,4,https://dl.airtable.com/.attachments/bfd469f22bebee18d69f172944338ee1/b79f0d8e/2007_0401SecondSamathaInstructionsandGuidedMeditation.pdf,Second Samatha Instructions and Guided Meditation,https://dharmaseed.org/teacher/210/talk/12313/,samadhi/jhana,"samadhi,breath meditation,working with pain / discomfort,guided meditation on the breath",Rob Burbea,,,Gaia House,"Gaia House, Devon",,2524,Practice instructions/guided practice,,,true,,
2007-04-01,,Samatha Meditation,5,https://dl.airtable.com/.attachments/3d0f4a5a43d1e2d3ff040b16a52670d2/0cae2416/2007_0401DevelopingSamathaConcentration.pdf,Developing Samatha/Concentration,https://dharmaseed.org/teacher/210/talk/12309/,samadhi/jhana,"samadhi,definitions: samadhi,samadhi: how and why it develops,samadhi: benefits of practice, samadhi as resource,emptiness/insight: cementing and consolidating insights,samadhi: dependent on and leading to happiness,hindrances,goals and effort,piti,repression / suppression",Rob Burbea,,,Gaia House,"Gaia House, Devon",,3949,Talk,,,true,,
2007-04-02,,Samatha Meditation,6,https://dl.airtable.com/.attachments/b9d90d9436234a969f50d63b2dba0269/c4c8c20a/2007_0402ThirdSamathaInstructionsandGuidedMeditation.pdf,Third Samatha Instructions and Guided Meditation,https://dharmaseed.org/teacher/210/talk/12314/,samadhi/jhana,"samadhi,breath meditation,guided meditation on the breath,breath meditation: breathing through different areas of the body",Rob Burbea,,,Gaia House,"Gaia House, Devon",,2892,Practice instructions/guided practice,,,true,,
2007-04-02,,Samatha Meditation,7,https://dl.airtable.com/.attachments/50e9a56c5628c2ba5d32d2c09c8a3ea2/d3c0ba08/2007_0402JhanaPractice.pdf,Jhana Practice,https://dharmaseed.org/teacher/210/talk/12311/,samadhi/jhana,"jhana,intro/overview,jhana: map of all eight jhanas,dangers or shadow sides in any dharma path,samadhi: relationship of samatha and insight,jhana: insight as base/springboard practice",Rob Burbea,,,Gaia House,"Gaia House, Devon",,4351,Talk,,,true,,
2007-06-15,,Cambridge Day Retreats,1,https://dl.airtable.com/.attachments/8d8c8ac30f8aa1003821152b137cdf8d/3c483082/2007_0615Views.pdf,Views,https://hermesamara.org/resources/talk/2007-06-15-views,emptiness/insight,"views/orientations in practice,Four Noble Truths,generosity,samadhi: developing well-being, happiness, nourishment,renunciation/letting go,mindfulness,three characteristics,critique: the practice of 'being with' or 'bare attention',emptiness of fabrication, unfabricated / snake eating its own tail, links melting",Rob Burbea,,,Cambridge Day Retreats,"Friends Meeting House, Cambridge",,5188,Talk,,,true,,
